Tahun,Bulan,Jenis Hotel,Lama Hunian Wisatawan,Lama Hunian Wisatawan
1/31/2019,januari,Bintang 5,3.94,Wisatawan Mancanegara
2/28/2019,februari,Bintang 5,1.74,Wisatawan Mancanegara
3/31/2019,maret,Bintang 5,2.67,Wisatawan Mancanegara
4/30/2019,april,Bintang 5,1.9,Wisatawan Mancanegara
5/31/2019,mei,Bintang 5,3.44,Wisatawan Mancanegara
6/30/2019,juni,Bintang 5,1.89,Wisatawan Mancanegara
7/31/2019,juli,Bintang 5,2.66,Wisatawan Mancanegara
8/31/2019,agustus,Bintang 5,2.48,Wisatawan Mancanegara
9/30/2019,september,Bintang 5,2.82,Wisatawan Mancanegara
10/31/2019,oktober,Bintang 5,2.77,Wisatawan Mancanegara
11/30/2019,november,Bintang 5,2.9,Wisatawan Mancanegara
12/31/2019,desember,Bintang 5,2.78,Wisatawan Mancanegara
1/31/2019,januari,Bintang 4,3.53,Wisatawan Mancanegara
2/28/2019,februari,Bintang 4,2.31,Wisatawan Mancanegara
3/31/2019,maret,Bintang 4,2.07,Wisatawan Mancanegara
4/30/2019,april,Bintang 4,2.73,Wisatawan Mancanegara
5/31/2019,mei,Bintang 4,2.48,Wisatawan Mancanegara
6/30/2019,juni,Bintang 4,3.04,Wisatawan Mancanegara
7/31/2019,juli,Bintang 4,2.68,Wisatawan Mancanegara
8/31/2019,agustus,Bintang 4,2.43,Wisatawan Mancanegara
9/30/2019,september,Bintang 4,2.12,Wisatawan Mancanegara
10/31/2019,oktober,Bintang 4,2.78,Wisatawan Mancanegara
11/30/2019,november,Bintang 4,2.4,Wisatawan Mancanegara
12/31/2019,desember,Bintang 4,2.79,Wisatawan Mancanegara
1/31/2019,januari,Bintang 3,4.14,Wisatawan Mancanegara
2/28/2019,februari,Bintang 3,4.12,Wisatawan Mancanegara
3/31/2019,maret,Bintang 3,3.73,Wisatawan Mancanegara
4/30/2019,april,Bintang 3,2.54,Wisatawan Mancanegara
5/31/2019,mei,Bintang 3,3.69,Wisatawan Mancanegara
6/30/2019,juni,Bintang 3,3.82,Wisatawan Mancanegara
7/31/2019,juli,Bintang 3,2.93,Wisatawan Mancanegara
8/31/2019,agustus,Bintang 3,3.26,Wisatawan Mancanegara
9/30/2019,september,Bintang 3,3.7,Wisatawan Mancanegara
10/31/2019,oktober,Bintang 3,3.43,Wisatawan Mancanegara
11/30/2019,november,Bintang 3,3.07,Wisatawan Mancanegara
12/31/2019,desember,Bintang 3,3.7,Wisatawan Mancanegara
1/31/2019,januari,Bintang 2,2.22,Wisatawan Mancanegara
2/28/2019,februari,Bintang 2,3.87,Wisatawan Mancanegara
3/31/2019,maret,Bintang 2,2.36,Wisatawan Mancanegara
4/30/2019,april,Bintang 2,3.93,Wisatawan Mancanegara
5/31/2019,mei,Bintang 2,3.99,Wisatawan Mancanegara
6/30/2019,juni,Bintang 2,3.55,Wisatawan Mancanegara
7/31/2019,juli,Bintang 2,4.82,Wisatawan Mancanegara
8/31/2019,agustus,Bintang 2,3.5,Wisatawan Mancanegara
9/30/2019,september,Bintang 2,2.89,Wisatawan Mancanegara
10/31/2019,oktober,Bintang 2,2.69,Wisatawan Mancanegara
11/30/2019,november,Bintang 2,3.45,Wisatawan Mancanegara
12/31/2019,desember,Bintang 2,2.37,Wisatawan Mancanegara
1/31/2019,januari,Bintang 1,2.69,Wisatawan Mancanegara
2/28/2019,februari,Bintang 1,3.94,Wisatawan Mancanegara
3/31/2019,maret,Bintang 1,1.6,Wisatawan Mancanegara
4/30/2019,april,Bintang 1,2.37,Wisatawan Mancanegara
5/31/2019,mei,Bintang 1,3.73,Wisatawan Mancanegara
6/30/2019,juni,Bintang 1,2.58,Wisatawan Mancanegara
7/31/2019,juli,Bintang 1,2.98,Wisatawan Mancanegara
8/31/2019,agustus,Bintang 1,2.42,Wisatawan Mancanegara
9/30/2019,september,Bintang 1,2.56,Wisatawan Mancanegara
10/31/2019,oktober,Bintang 1,3.09,Wisatawan Mancanegara
11/30/2019,november,Bintang 1,2.3,Wisatawan Mancanegara
12/31/2019,desember,Bintang 1,2.51,Wisatawan Mancanegara
1/31/2019,januari,Bintang 5,2.03,Wisatawan Nusantara
2/28/2019,februari,Bintang 5,1.93,Wisatawan Nusantara
3/31/2019,maret,Bintang 5,2.55,Wisatawan Nusantara
4/30/2019,april,Bintang 5,1.98,Wisatawan Nusantara
5/31/2019,mei,Bintang 5,1.49,Wisatawan Nusantara
6/30/2019,juni,Bintang 5,1.63,Wisatawan Nusantara
7/31/2019,juli,Bintang 5,1.58,Wisatawan Nusantara
8/31/2019,agustus,Bintang 5,2.52,Wisatawan Nusantara
9/30/2019,september,Bintang 5,1.78,Wisatawan Nusantara
10/31/2019,oktober,Bintang 5,1.86,Wisatawan Nusantara
11/30/2019,november,Bintang 5,2.97,Wisatawan Nusantara
12/31/2019,desember,Bintang 5,2.87,Wisatawan Nusantara
1/31/2019,januari,Bintang 4,2.46,Wisatawan Nusantara
2/28/2019,februari,Bintang 4,1.56,Wisatawan Nusantara
3/31/2019,maret,Bintang 4,1.68,Wisatawan Nusantara
4/30/2019,april,Bintang 4,1.72,Wisatawan Nusantara
5/31/2019,mei,Bintang 4,2.08,Wisatawan Nusantara
6/30/2019,juni,Bintang 4,2.12,Wisatawan Nusantara
7/31/2019,juli,Bintang 4,2.07,Wisatawan Nusantara
8/31/2019,agustus,Bintang 4,1.87,Wisatawan Nusantara
9/30/2019,september,Bintang 4,2.13,Wisatawan Nusantara
10/31/2019,oktober,Bintang 4,2.04,Wisatawan Nusantara
11/30/2019,november,Bintang 4,1.88,Wisatawan Nusantara
12/31/2019,desember,Bintang 4,2.03,Wisatawan Nusantara
1/31/2019,januari,Bintang 3,3.2,Wisatawan Nusantara
2/28/2019,februari,Bintang 3,2.29,Wisatawan Nusantara
3/31/2019,maret,Bintang 3,0.65,Wisatawan Nusantara
4/30/2019,april,Bintang 3,2.33,Wisatawan Nusantara
5/31/2019,mei,Bintang 3,2.28,Wisatawan Nusantara
