Tahun,Bulan,Hotel,presentase
1/31/2018,Januari ,Hotel Berbintang,64.74
2/28/2018,Februari,Hotel Berbintang,62.43
3/31/2018,Maret,Hotel Berbintang,61.77
4/30/2018,April,Hotel Berbintang,62.91
5/31/2018,Mei,Hotel Berbintang,65.61
6/30/2018,Juni,Hotel Berbintang,52.48
7/31/2018,Juli,Hotel Berbintang,78.79
8/31/2018,Agustus,Hotel Berbintang,74.12
9/30/2018,September,Hotel Berbintang,68.33
10/31/2018,Oktober,Hotel Berbintang,68.72
11/30/2018,November,Hotel Berbintang,74.29
12/31/2018,Desember,Hotel Berbintang,68.23
1/31/2019,Januari ,Hotel Berbintang,69.84
2/28/2019,Februari,Hotel Berbintang,63.37
3/31/2019,Maret,Hotel Berbintang,59.56
4/30/2019,April,Hotel Berbintang,58.92
5/31/2019,Mei,Hotel Berbintang,54.32
6/30/2019,Juni,Hotel Berbintang,50.51
7/31/2019,Juli,Hotel Berbintang,64.15
8/31/2019,Agustus,Hotel Berbintang,58.11
9/30/2019,September,Hotel Berbintang,58.97
10/31/2019,Oktober,Hotel Berbintang,62.67
11/30/2019,November,Hotel Berbintang,64.17
12/31/2019,Desember,Hotel Berbintang,61.59
1/31/2020,Januari ,Hotel Berbintang,51.37
2/29/2020,Februari,Hotel Berbintang,54.28
3/31/2020,Maret,Hotel Berbintang,36.93
4/30/2020,April,Hotel Berbintang,19.84
5/31/2020,Mei,Hotel Berbintang,24.32
6/30/2020,Juni,Hotel Berbintang,26.47
7/31/2020,Juli,Hotel Berbintang,41.03
8/31/2020,Agustus,Hotel Berbintang,36.18
9/30/2020,September,Hotel Berbintang,38.96
10/31/2020,Oktober,Hotel Berbintang,44.33
11/30/2020,November,Hotel Berbintang,45.63
12/31/2020,Desember,Hotel Berbintang,45.4
1/31/2018,Januari ,Hotel Non Berbintang,74.4
2/28/2018,Februari,Hotel Non Berbintang,85.23
3/31/2018,Maret,Hotel Non Berbintang,88.68
4/30/2018,April,Hotel Non Berbintang,83.57
5/31/2018,Mei,Hotel Non Berbintang,83.6
6/30/2018,Juni,Hotel Non Berbintang,53.16
7/31/2018,Juli,Hotel Non Berbintang,76.11
8/31/2018,Agustus,Hotel Non Berbintang,75.42
9/30/2018,September,Hotel Non Berbintang,84.76
10/31/2018,Oktober,Hotel Non Berbintang,79.35
11/30/2018,November,Hotel Non Berbintang,89.58
12/31/2018,Desember,Hotel Non Berbintang,86.26
1/31/2019,Januari ,Hotel Non Berbintang,55.37
2/28/2019,Februari,Hotel Non Berbintang,77.43
3/31/2019,Maret,Hotel Non Berbintang,55.84
4/30/2019,April,Hotel Non Berbintang,69.52
5/31/2019,Mei,Hotel Non Berbintang,52.73
6/30/2019,Juni,Hotel Non Berbintang,66.76
7/31/2019,Juli,Hotel Non Berbintang,58.78
8/31/2019,Agustus,Hotel Non Berbintang,62.11
9/30/2019,September,Hotel Non Berbintang,56.55
10/31/2019,Oktober,Hotel Non Berbintang,56.83
11/30/2019,November,Hotel Non Berbintang,59.07
12/31/2019,Desember,Hotel Non Berbintang,57.92
1/31/2020,Januari ,Hotel Non Berbintang,54.07
2/29/2020,Februari,Hotel Non Berbintang,51
3/31/2020,Maret,Hotel Non Berbintang,38.41
4/30/2020,April,Hotel Non Berbintang,27.75
5/31/2020,Mei,Hotel Non Berbintang,24.39
6/30/2020,Juni,Hotel Non Berbintang,25.63
7/31/2020,Juli,Hotel Non Berbintang,28.01
8/31/2020,Agustus,Hotel Non Berbintang,35.23
9/30/2020,September,Hotel Non Berbintang,30.3
10/31/2020,Oktober,Hotel Non Berbintang,31.44
11/30/2020,November,Hotel Non Berbintang,30.28
12/31/2020,Desember,Hotel Non Berbintang,31.24
