Tahun,Bulan,Hotel,presentase
2018,Januari ,Hotel Berbintang,64.74
2018,Februari,Hotel Berbintang,62.43
2018,Maret,Hotel Berbintang,61.77
2018,April,Hotel Berbintang,62.91
2018,Mei,Hotel Berbintang,65.61
2018,Juni,Hotel Berbintang,52.48
2018,Juli,Hotel Berbintang,78.79
2018,Agustus,Hotel Berbintang,74.12
2018,September,Hotel Berbintang,68.33
2018,Oktober,Hotel Berbintang,68.72
2018,November,Hotel Berbintang,74.29
2018,Desember,Hotel Berbintang,68.23
2019,Januari ,Hotel Berbintang,69.84
2019,Februari,Hotel Berbintang,63.37
2019,Maret,Hotel Berbintang,59.56
2019,April,Hotel Berbintang,58.92
2019,Mei,Hotel Berbintang,54.32
2019,Juni,Hotel Berbintang,50.51
2019,Juli,Hotel Berbintang,64.15
2019,Agustus,Hotel Berbintang,58.11
2019,September,Hotel Berbintang,58.97
2019,Oktober,Hotel Berbintang,62.67
2019,November,Hotel Berbintang,64.17
2019,Desember,Hotel Berbintang,61.59
2020,Januari ,Hotel Berbintang,51.37
2020,Februari,Hotel Berbintang,54.28
2020,Maret,Hotel Berbintang,36.93
2020,April,Hotel Berbintang,19.84
2020,Mei,Hotel Berbintang,24.32
2020,Juni,Hotel Berbintang,26.47
2020,Juli,Hotel Berbintang,41.03
2020,Agustus,Hotel Berbintang,36.18
2020,September,Hotel Berbintang,38.96
2020,Oktober,Hotel Berbintang,44.33
2020,November,Hotel Berbintang,45.63
2020,Desember,Hotel Berbintang,45.4
2018,Januari ,Hotel Non Berbintang,74.4
2018,Februari,Hotel Non Berbintang,85.23
2018,Maret,Hotel Non Berbintang,88.68
2018,April,Hotel Non Berbintang,83.57
2018,Mei,Hotel Non Berbintang,83.6
2018,Juni,Hotel Non Berbintang,53.16
2018,Juli,Hotel Non Berbintang,76.11
2018,Agustus,Hotel Non Berbintang,75.42
2018,September,Hotel Non Berbintang,84.76
2018,Oktober,Hotel Non Berbintang,79.35
2018,November,Hotel Non Berbintang,89.58
2018,Desember,Hotel Non Berbintang,86.26
2019,Januari ,Hotel Non Berbintang,55.37
2019,Februari,Hotel Non Berbintang,77.43
2019,Maret,Hotel Non Berbintang,55.84
2019,April,Hotel Non Berbintang,69.52
2019,Mei,Hotel Non Berbintang,52.73
2019,Juni,Hotel Non Berbintang,66.76
2019,Juli,Hotel Non Berbintang,58.78
2019,Agustus,Hotel Non Berbintang,62.11
2019,September,Hotel Non Berbintang,56.55
2019,Oktober,Hotel Non Berbintang,56.83
2019,November,Hotel Non Berbintang,59.07
2019,Desember,Hotel Non Berbintang,57.92
2020,Januari ,Hotel Non Berbintang,54.07
2020,Februari,Hotel Non Berbintang,51
2020,Maret,Hotel Non Berbintang,38.41
2020,April,Hotel Non Berbintang,27.75
2020,Mei,Hotel Non Berbintang,24.39
2020,Juni,Hotel Non Berbintang,25.63
2020,Juli,Hotel Non Berbintang,28.01
2020,Agustus,Hotel Non Berbintang,35.23
2020,September,Hotel Non Berbintang,30.3
2020,Oktober,Hotel Non Berbintang,31.44
2020,November,Hotel Non Berbintang,30.28
2020,Desember,Hotel Non Berbintang,31.24
